company,id,city,dep,sec
AKIM-TEK Enerji Elektrik Üretim Petrol Ürünleri Pazarlama Nakliyat San. Ve Tic. Ltd. Şti,3947,Ankara,ME,Petrol process ve depolama
Akınsoft Yazılım Bilgisayar Ltd. Şti.,2625,Konya,,
Alfamax Elektronik Yapı Donanımları Ltd. Şti.,2614,Ankara,EE,
Alfemo Mobilya,4826,İzmir,IE,
Algan Yazılım,3081,Ankara,CS,Information Technologies
ALGİDA,2189,Diğer,IE,
Algida Unilever San. ve Tic. Türk A.Ş.,3266,Konya,IE,
ALGORİTİX CORPORATION,1282,Bethesda,CS,
ALİ RAİF İLAÇ SANAYİ A.Ş.,1283,İstanbul,IE,
Alictus,4947,Ankara,CS,Software Engineering.
Alimar Jeneratör,6042,Balıkesir,IE,
Allianz Sigorta A.Ş.,5412,İzmir,IE,Financial Services
Allianz Sigorta A.Ş.,5494,İstanbul,IE,Insurance & Finance
ALP HAVACILIK Sanayi ve Ticaret A.Ş.,1284,Eskişehir,ME,Havacılık Motor Sanayi
Alpdata Bilgisayar Yazılım Geliştirme,2191,Ankara,CS,
Alpha Squared,6207,Lahore,CS,Software House
ALPİN KİMYA,1285,Bursa,IE,
Alpine Enterprises,4340,Lahore,EE,Power and Production.
ALSATEKNİK Elektromekanik San. Tic. Ltd. Şti,5202,Bursa,ME,Üretim
ALSTOM ELEKTRİK  ENDÜSTRİSİ A.Ş.,1287,Ankara,EE,ELEKTRİK DAĞITIMI
Alstom Grid,3932,Ankara,IE,power
Alstom Grid Enerji Endustrisi A.Ş.,3591,Ankara,EE,Grid
Alstom Grid Türkiye- Güç Transformatörleri Fabrikası,3521,Kocaeli,IE,
ALTAIR Yazılım ve Savunma Sanayii Teknolojileri A.Ş.,3624,Ankara,CS,"YAZILIM, BİLİŞİM"
ALTAŞ Yağ Su ve Tarım ürünleri Gıda İnşaat Otomotiv Nakl. San. ve Tic. A.Ş.,2479,Ordu,IE,
Altek Metal San.ve Tic.A.Ş.,3968,İstanbul,IE ME,Alüminyum
Altek Metal San.ve Tic.A.Ş.,3970,Tekirdağ,IE,Alüminyum
"ALTIN MARKA GIDA SANAYİ VE TİCARETİ A.Ş.
ÜRETİM",2192,İstanbul,IE ME,
ALTINAY,5432,İstanbul,ME,Industrial Automation & Assembly
ALTINAY Havacılık & İleri Teknolojiler A.Ş.,4807,İstanbul,ME,Mekatronik/Robotik
ALTINSU TEKSTİL SAN. VE TİC. LTD ŞTİ.,1288,Bursa,EE,TEKSTİL
ALTINYILDIZ KONFEKSİYON VE MENSUCAT FAB. A.Ş.,1289,Tekirdağ,EE,TEKSTİL
ALTINYILDIZ KONFEKSİYON VE MENSUCAT FAB. A.Ş.,3910,Tekirdağ,IE,
Altia Bessiness,2540,Bessines sur gartempe,IE,İŞ GELİŞTİRME
Altim Alüminyum,4446,Ankara,IE,"Metal Extrusion, Dying, Anodising, Coating"
Altosec,5941,Ankara,CS,
ALTOY,4154,Ankara,CS ME,Defense Industry and Aviation Inc.
Altuğ Savunma Makine ve Mühendislik LTD.ŞTİ,5684,Ankara,ME,
ALTUS YAZILIM DESTEK VE DAN. HİZ.SAN.TİC.LTD.ŞTİ.,1290,Ankara,CS,
Alyo Bilgi Tek. Yazılım Danışmanlık Sav. San. Tic. Ltd. Şti.,3633,Ankara,CS,"Self-service platform for HD live streaming, real-time clip editing, social sharing and archival"
American Express - United Kingdom,4563,Brighton,CS,Finance
AMIANTIT SERVICE GmbH,1291,Düsseldorf,IE,
AmonRa Yazılım Ticaret Ltd. Şti.,4582,Antalya,CS,Otel ve Turizm
Ana Gıda,3061,Kocaeli,IE,Gıda
Anadolu Ajansı - Arge Departmanı,3672,Ankara,EE,"Media, Image Processing, Programming"
ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,1292,İstanbul,CS,SİGORTA
Anadolu Anonim Türk Sigorta Şirketi Genel Müdürlük,5954,İstanbul,IE,Sigorta
Anadolu Cam Eskişehir Sanayi A.Ş.,3881,Eskişehir,IE,Üretim/Cam
Anadolu Cam Sanayii A.Ş.,4671,Mersin,IE,Cam Ambalaj Üretimi
ANADOLU CAM SANAYİİ A.Ş.                                           TOPKAPI FABRİKASI,1293,İstanbul,IE ME,
Ansolon Medya,3977,Ankara,CS,CS
Ant Media,5543,Ankara,CS,Media
Ant Yapı Sanayi ve Ticaret A.Ş.,4696,İstanbul,IE,İnşaat
Antverse,6055,Antalya,CS,
AON SİGORTA VE REASÜRANS BROKERLİĞİ ANONİM ŞİRKETİ,4692,İstanbul,IE,"Risk yönetimi ve danışmanlığı, sigortacılık, reasürans"
AP Nanoteknoloji Ltd.,5554,Ankara,CS,"Research and Development, Operation Software"
App Samurai,5819,Ankara,CS,Yazılım
APPLE INC.,1300,CUPERTINO,CS,
Apps Bilgi Teknolojileri,4906,Ankara,CS,Software
"Apsis Kontrol Sistemleri Ltd Şti
AR-GE",2194,Ankara,EE,
AQVILA SOFTWARE YAZILIM A.Ş.,1301,Kocaeli,CS,
AR ELEKTRIK,4337,Çorum,EE,
Ar Grup Makine San. ve Tic. A.Ş.,5655,Ankara,IE,Otomotiv Yan Sanayi
"AR-BA MOBİLYA PAZARLAMA
Pazarlama",2195,Ankara,IE,
Aras Edaş,5207,Erzurum,EE,EE
Aras Kargo,5005,İstanbul,IE,
ARASKOM A.Ş.,1302,Ankara,EE,
Arat Endüstri Tesisleri İnşaat Enerji Isı San. ve Tic. Ltd. Şti.,3818,İzmir,ME,"Enerji,ısı ve inşaat"
Arbel Grup,5281,Mersin,IE,Gıda
ARBER A.Ş.,4903,Ankara,CS,Yazılım
ARC INTERNATIONAL - INVENTA,1303,Ankara,CS,"BİLİŞİM, EĞİTİM VE YÖNETİM DANIŞMANLIK"
Arçelik A.Ş,3234,İstanbul,CS EE IE,Elektronik eşya üretim
Arçelik A.Ş,3236,İstanbul,IE,Elektronik ürün işletmesi
Arçelik A.Ş,3261,Eskişehir,IE,Manufacturing
Arçelik A.Ş,5021,İstanbul,ME,Elektronik ürün işletmesi
Arçelik A.Ş,6136,İstanbul,ME,General R&D Department
Arçelik A.Ş Ar-Ge,5636,İstanbul,EE,General R&D Department
Arçelik A.Ş Eskişehir Buzdolabı İşletmesi,3325,Eskişehir,ME,Beyaz Eşya
ARÇELİK A.Ş.,1304,İstanbul,CS EE IE,BEYAZ EŞYA
ARÇELİK A.Ş.,2196,Eskişehir,EE IE,
ARÇELİK A.Ş.,4509,İstanbul,IE,Dayanıklı tüketim ve tüketici elektroniği
Arçelik A.Ş. Bulaşık Makinesi İşletmesi,4013,Ankara,IE,
Arçelik A.Ş. Bulaşık Makinesi İşletmesi,4998,Ankara,ME,
Arçelik A.Ş. Dryer and Electric Motors Plant,6086,Tekirdağ,ME,R&D
ARÇELİK A.Ş. Pişirici Cihazlar İşletmesi,1305,Bolu,IE,
ARÇELİK A.Ş. Pişirici Cihazlar İşletmesi,2682,Bolu,EE,
ARÇELİK A.Ş. Pişirici Cihazlar İşletmesi,5631,Bolu,ME,
ARÇELİK A.Ş.Bulaşık Makinesi İşletmesi,2197,Ankara,CS EE IE ME,"MAKİNE, ELEKTRİK"
Arçelik Ar-Ge Tasarım Ofisi,4137,Ankara,CS EE,
"ARÇELİK ÇAMAŞIR MAKİNESİ İŞLETMESİ
Ar-Ge",2198,İstanbul,IE ME,
ARÇELİK ÇAMAŞIR MAKİNESİ İŞLETMESİ,3349,İstanbul,IE,Beyaz Eşya Üretim
ARÇELİK ÇAMAŞIR MAKİNESİ İŞLETMESİ,5106,İstanbul,EE,Beyaz Eşya
ARÇELİK ÇAMAŞIR MAKİNESİ İŞLETMESİ Ar-Ge,3654,İstanbul,EE,
ARÇELİK LG KLİMA,1306,Kocaeli,CS EE IE ME,ÜRETIM
Arçelik Pazarlama A.Ş.,5570,İstanbul,IE,
